Date,Total_Entrants,Previous_Count,New_Entrants,Dropped_Entrants,Net_Change
2026-04-28T08:52:05.225554,235,238,0,3,-3
2026-04-29T08:49:02.439430,234,235,0,1,-1
2026-04-30T08:49:00.406019,233,234,0,1,-1
2026-05-01T08:42:17.454746,232,233,0,1,-1
2026-05-02T08:33:03.233696,232,232,0,0,0
2026-05-03T08:36:46.084591,232,232,0,0,0
2026-05-04T08:52:36.436472,232,232,0,0,0
2026-05-05T08:47:26.768996,230,232,0,2,-2
2026-05-07T08:56:30.247653,230,230,0,0,0
2026-05-08T08:34:04.634506,230,230,0,0,0
2026-05-09T08:35:04.590396,230,230,0,0,0
2026-05-10T08:39:43.144446,230,230,0,0,0
2026-05-11T09:12:07.886227,229,230,0,1,-1
2026-05-12T09:00:04.787726,228,229,0,1,-1
2026-05-13T09:03:46.110619,226,228,1,3,-2
2026-05-14T08:58:26.413582,225,226,0,1,-1
2026-05-15T09:06:49.067809,224,225,1,2,-1
2026-05-16T08:36:58.973300,223,224,0,1,-1
2026-05-17T08:45:15.970332,222,223,0,1,-1
2026-05-18T09:14:06.100563,220,222,0,2,-2
2026-05-19T09:12:15.066048,218,220,0,2,-2
2026-05-20T09:10:33.534112,219,218,1,0,1
2026-05-21T09:10:40.351621,218,219,0,1,-1
2026-05-22T09:08:55.647718,218,218,0,0,0
2026-05-23T08:44:13.625811,217,218,0,1,-1
2026-05-24T08:53:54.201888,216,217,0,1,-1
2026-05-25T09:23:15.903069,216,216,0,0,0
2026-05-26T09:12:53.876860,215,216,0,1,-1
2026-05-27T09:11:24.165829,215,215,0,0,0
2026-05-28T09:17:48.850782,215,215,0,0,0
2026-05-29T09:13:20.816348,215,215,0,0,0
2026-05-30T08:50:33.663096,213,215,0,2,-2
2026-05-31T09:05:04.319483,208,213,0,5,-5
2026-06-01T09:53:13.795215,207,208,0,1,-1
2026-06-02T09:29:45.858362,205,207,0,2,-2
2026-06-03T09:39:35.978329,205,205,0,0,0
2026-06-04T09:21:57.789035,205,205,0,0,0
2026-06-05T09:11:12.362497,205,205,0,0,0
2026-06-06T08:55:11.014391,0,205,0,205,-205
2026-06-07T09:05:26.733926,0,0,0,0,0
2026-06-08T09:38:41.872805,0,0,0,0,0
2026-06-09T09:11:05.463076,0,0,0,0,0
2026-06-10T09:16:45.382995,0,0,0,0,0
2026-06-11T09:32:20.065180,0,0,0,0,0
2026-06-12T09:27:03.700622,0,0,0,0,0
2026-06-13T09:06:27.900396,0,0,0,0,0
2026-06-14T09:08:00.584889,0,0,0,0,0
2026-06-15T10:10:29.363053,0,0,0,0,0
2026-06-16T09:50:00.589319,0,0,0,0,0
2026-06-17T09:41:05.163023,0,0,0,0,0
2026-06-18T09:32:52.275298,0,0,0,0,0
2026-06-19T09:37:44.695291,0,0,0,0,0
2026-06-20T09:06:06.779192,0,0,0,0,0
2026-06-21T09:17:40.393134,0,0,0,0,0
2026-06-22T10:03:33.993673,0,0,0,0,0
2026-06-23T09:10:23.687758,0,0,0,0,0
2026-06-24T09:08:57.510627,0,0,0,0,0
2026-06-25T09:08:38.303094,0,0,0,0,0
2026-06-26T09:08:46.270238,0,0,0,0,0
2026-06-27T08:57:27.972524,0,0,0,0,0
2026-06-28T09:05:25.944087,0,0,0,0,0
2026-06-29T09:38:32.075713,0,0,0,0,0
2026-06-30T09:09:29.808057,0,0,0,0,0
